"accessno","author"
"0000007167","Titchmarsh, Alan"
"0000007168","Sheridan, Richard Brinsley"
"0000007173","Piliitteri, Adele"
"0000007174","Date, C.J."
"0000007175","Webber, Harry"
"0000000000","none"
"0000007176","Sison, Perfecto S."
"0000007177","none"
"0000007178","none"
"0000007179","none"
"0000007182","Paul ll, Pope John"
"0000007183","Bonnani, Andrea"
"0000007183","Braco, Pinnucia"
"0000007184","Bentley, James 1937-"
"0000007185","Shakespeare, William"
"0000007186","Ordonez, Julius"
"0000007186","Agbuya, grace C."
"0000007186","Manaog, Jesus T."
"0000007190","Lorenzo, J. Ramon S."
"0000007194","Lorenzo, J. Ramon S."
"0000007196","Kloetzli, Godfrey O.F.M."
"0000007197","Greenblatt, Mirriam"
"0000007197","Lemmo, Peter S."
"0000007198","Kitane, Pamela S."
"0000007199","Santos, Evangeline"
"0000007200","Santos, Evangeline"
"0000007201","Villaneva, Marie Yssanne L."
"0000007202","Villanueva, Marie Ysanne L."
"0000007203","Venida, Jamine R."
"0000007204","Bautista, Veltisezar B."
"0000007205","none"
"0000007206","Rumbaoa, Mary Alice S>"
"0000007207","none"
"0000007208","Venida, Jamine R."
"0000007209","Villanueva, Marie Ysanne L."
"0000007210","Santos, Evangeline"
"0000007211","Santos, Evangeline"
"0000007212","none"
"0000007213","Langone, John"
"0000007214","Barrett, Norman"
"0000007215","none"
"0000007216","none"
"0000007217","none"
"0000007218","Magdaraog, Gregorio L."
"0000007220","Fuller, Sue"
"0000007221","McBrien, Richard B."
"0000007224","Clark, Francis X."
"0000007225","none"
"0000007226","none"
"0000007227","Eckhart, Meister"
"0000007231","[comp. by] Canfield, Jack"
"0000007233","Galende, Pedro"
"0000007233","Javellana, Rene B."
"0000007234","Theodorou, Rod"
"0000007234","Telford, Carole"
"0000007235","Dallaway, James"
"0000007236","Theodorou, Rod"
"0000007236","Telford, Carole"
"0000007237","none"
"0000007238","Andres, Tomas D."
"0000007239","Zitzewitz, Paul W."
"0000007242","Tang, Dora Tai"
"0000007243","Rozakis, Laurie"
"0000007244","Opitz, Micheal F."
"0000007245","Aquino, Francisca R."
"0000007240","The Best Multiple Intelligences Activities"
"0000007246","Miller, Kenneth R."
"0000007247","Nelson, Kristen N."
"0000007249","none"
"0000007252","Miller, Kenneth R."
"0000007252","Levine, Joseph"
"0000007253","Miller, Kenneth"
"0000007255","LeMay, H Eugene"
"0000007256","Maton, Anthea"
"0000007257","Knox, Ian 1926-"
"0000007259","Aquino, Francisca Reyes"
"0000007260","Bulosan, Carlos"
"0000007262","Carandang, Maria Lourdes A."
"0000007263","Carpio, Aleli V."
"0000007264","Maton, Anthea"
"0000007269","Kalaw, T. M."
"0000007270","Religioso, Teresita F."
"0000007271","Villanueva, Leandro C."
"0000007272","Bilgua, Melchora D."
"0000007273","Bilgua, Melchora D."
"0000007274","Bilgua, Melchora D."
"0000007275","Baylon, Gloria V."
"0000007276","Baylon, Gloria V."
"0000007277","Baylon, Gloria V."
"0000007278","Alido, Ruth C."
"0000007279","Alido, Ruth C."
"0000007280","Alido, Ruth C."
"0000007281","Antonio, Eleonor"
"0000007281","Banlaygas, Emilia L."
"0000007282","Asuncion, Corazon C."
"0000007283","Asuncion, Eva S."
"0000007283","Chua, Cheryl Ann"
"0000007284","Susten, Jane"
"0000007284","Bell, Florence"
"0000007285","Ballesteros, Carmellita Conchingco"
"0000007286","Bambico, Evelyn P."
"0000007287","Bandong, Cleredona"
"0000007287","Reyes, ma. Corazon"
"0000007289","Baylon, Gloria V."
"0000007290","Baylon, Gloria V."
"0000007290","Bilgera, Melchora D."
"0000007291","Antonio, Eleanor D."
"0000007292","Battad, Eden P."
"0000007294","Baylon, Gloria V."
"0000007295","Reyes, Flordeliza C./"
"0000007296","Chapin, Suzanne H."
"0000007297","Febre, Francisco A. , Jr."
"0000007298","Chapin, Suzanne H."
"0000007299","Chapin, Suzanne H."
"0000007300","none"
"0000007301","Drane, John"
"0000007302","Bass, Laurie E."
"0000007302","Hall, Basia Rinesmith"
"0000007302","Johnson, Arth"
"0000007303","Baskwill, Jane"
"0000007304","Abastillas, Vivencio N., Jr.,"
"0000007305","Deauna, Melecio C."
"0000007306","Dede, Chris"
"0000007307","Aquino, Francisca Reyes"
"0000007308","Abrahams, Peter"
"0000007308","Nesbitt, Rod"
"0000007309","Alcantara, Stella"
"0000007310","James, Henry"
"0000007311","none"
"0000007312","Biteng, Oralla P."
"0000000000","Santiago,Marilou R."
"0000007313","Bronte, Emily"
"0000007314","Deauna, Melecio C."
"0000007316","Cutiongco, Elena C."
"0000007317","Ingram, Anne"
"0000007318","Buenaventura, Eva R."
"0000007319","Esplen, Mike"
"0000007320","Conan, Doyle"
"0000007321","Conan, Doyle"
"0000007322","Dike Christopher"
"0000007324","Tomey, Ann Marriner"
"0000007323","Dioke, Christopher"
"0000007325","Essenfeld, Bernice E."
"0000007325","Gontang, Carol R."
"0000007325","Moore, Randy"
"0000007326","Custodio, Ernesto"
"0000007327","Ed. by Donaldson, Thomas"
"0000007328","Aldridge, Bill M.S."
"0000007328","Connollly, Thomas M."
"0000007329","Conrad, Joseph"
"0000007330","Silberschatz, Avi"
"0000007331","Connolly, Thomas M."
"0000007333","Clark, Mary Jo Dummer"
"0000007334","Mullen, Robert"
"0000007335","Capron, H.L."
"0000007336","Bruner, Jerome Seymour"
"0000007337","Carey, Patrick"
"0000007338","Deitel, H.M."
"0000007339","Dewey, Melvil"
"0000007340","Eggen, Roger"
"0000007340","Eggen, Maurice"
"0000007341","Ellis, Janice Rider"
"0000007341","Nowlis, Elizabeth Ann"
"0000007341","Bentz, Patricia M."
"0000007342","Folk, Michael J."
"0000007343","Diaz, Moises S."
"0000007344","Colla, Luc CICM"
"0000007346","Triola, Mario F."
"0000007345","Folk, Michael"
"0000007345","                 Folk, Michael"
"0000007345","Folk, Michael J."
"0000000000","Manacsa,Felicitas Ramos"
"0000000000","Par,Ma.Minerva P.Galicia"
"0000007347","Cantalejo, Mirla N."
"0000007342","Zoellick, Bill"
"0000007348","Cay, Nila B."
"0000007349","Folk, Michael J."
"0000007349","Zoellick, Bill"
"0000007350","Coralejo, Victoria"
"0000007353","Ghezzi, Carlo"
"0000007353","Jazyeri, Mehdi"
"0000007355","Gil, Avelina J."
"0000007356","Goodrich, Michael T."
